stop_lat,stop_code,stop_lon,timepoint,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
42.9508131,1280,-87.8599114,0,,1280,,PACKARD & PULASKI,0,
42.9545473,1282,-87.8599416,0,,1282,,PACKARD & SOMERS,0,
42.9647645,1289,-87.8686424,0,,1289,,KK & BOTTSFORD,0,
42.962948,1288,-87.8670437,0,,1288,,KK & VAN NORMAN,0,
42.9718693,7189,-87.9193458,0,,7189,,S6 & NORWICH,0,
42.9052823,1573,-87.9408539,1,,1573,,IKEA,0,
42.908577,1572,-87.9498755,0,,1572,,S27 & NORTHWESTERN MUTUAL WAY,0,
42.908459,1571,-87.9504063,0,,1571,,S27 & NORTHWESTERN MUTUAL WAY,0,
43.00296,1570,-87.9838024,0,,1570,,LINCOLN & S57,0,
43.1787004,1577,-88.015646,0,,1577,,N85 & 8488 N,0,
42.9663657,683,-87.9094235,1,,683,,HOWELL & BOLIVAR,0,
42.9681968,7187,-87.9193376,0,,7187,,S6 & PLAINFIELD,0,
43.0444899,623,-87.9190856,1,,623,,N6 & HIGHLAND,0,
43.0456346,622,-87.9190336,0,,622,,JUNEAU & N6,0,
43.1779689,8387,-88.0161277,0,,8387,,N85 & BROWNDEER,0,
43.0029549,8381,-87.9113838,1,,8381,,S1 & LINCOLN,0,
42.9882585,8502,-87.9920965,0,,8502,,OKLAHOMA & W6319,0,
43.0464688,6482,-88.0149501,0,,6482,,HARWOOD & CHESTNUT,0,
43.1775367,8545,-87.9746623,0,,8545,,BROWN DEER & N51,0,
42.9909385,8505,-87.9479145,1,,8505,,S27 & KK RIVER,0,
43.1775258,8543,-87.9802939,0,,8543,,BROWN DEER & N56,0,
43.0967098,4265,-87.9667429,0,,4265,,SHERMAN & CONGRESS,0,
43.1579196,6572,-87.9123706,0,,6572,,PORT WASHINGTON & DUNWOOD,0,
43.0168079,2037,-87.9620884,0,,2037,,GREENFIELD & S38,0,
42.959373,4389,-88.0230304,1,,4389,,LAYTON & HAWK (S. 87TH),0,
43.1547779,6571,-87.9121931,0,,6571,,PORT WASHINGTON & CALUMET,0,
43.1693003,6577,-87.9117949,0,,6577,,PORT WASHINGTON & DEAN,0,
43.1620239,6574,-87.9115775,0,,6574,,PORT WASHINGTON & BRADLEY,0,
43.0536383,5628,-87.9501922,0,,5628,,LISBON & N29,0,
43.062612,4383,-87.8831694,0,,4383,,MARYLAND & FARWELL,0,
43.063833,4382,-87.8831533,0,,4382,,MARYLAND & BRADFORD,0,
43.0546288,5625,-87.9578015,1,,5625,,LISBON & N35,0,
43.0661984,4380,-87.8831238,0,,4380,,MARYLAND & BELLEVIEW,0,
43.0550896,5623,-87.9620639,0,,5623,,LISBON & N39,0,
43.0557295,5622,-87.9637717,0,,5622,,LISBON & N40,0,
43.0579359,5621,-87.9680107,1,,5621,,LISBON & SHERMAN,0,
43.059798,4384,-87.8859319,1,,4384,,FARWELL & NORTH,0,
43.1187749,1371,-87.9158165,1,,1371,,SILVER SPRING & PORT WASHINGTON,0,
43.1187561,1370,-87.9139217,0,,1370,,SILVER SPRING & MOHAWK,0,
43.1201607,1372,-87.9163556,0,,1372,,PORT WASHINGTON & NORTHSHORE,0,
43.1184633,1375,-87.907074,0,,1375,,SILVER SPRING & SANTA MONICA,0,
43.1160836,1377,-87.9018693,0,,1377,,MARLBOROUGH & BIRCH,0,
43.118138,1376,-87.9023907,0,,1376,,MARLBOROUGH & SILVER SPRING,0,
43.1112683,1379,-87.8987542,0,,1379,,MARLBOROUGH & HENRY CLAY,0,
43.1133489,1378,-87.9003223,0,,1378,,MARLBOROUGH & LEXINGTON,0,
43.0674625,629,-88.0508445,1,,629,,CENTER & 111,0,
43.1339633,2744,-88.0158048,0,,2744,,MILL & N84,0,
43.0556635,3836,-87.9336489,1,,3836,,N17 & TRANSIT BLDG,0,
43.0817388,1343,-87.8875618,0,,1343,,OAKLAND & EDGEWOOD,0,
43.0484458,3832,-87.9337588,1,,3832,,N17 & VLIET,0,
43.1232006,2030,-87.9351023,0,,2030,,GREEN BAY & CIVIC,0,
42.9590944,3838,-88.0223047,1,,3838,,LAYTON & SUPREME (S. 87TH),0,
43.0859119,1345,-87.8874849,0,,1345,,OAKLAND & BEVERLY,0,
42.9890478,4031,-87.9479943,1,,4031,,S27 & OKLAHOMA,0,
42.995799,4033,-87.9480394,0,,4033,,S27 & CLEVELAND,0,
43.0886359,5996,-88.0596302,0,,5996,,CAPITOL & HARLEY DAVIDSON,0,
43.0006094,4035,-87.9481137,1,,4035,,S27 & FOREST HOME,0,
43.1048285,5993,-88.0277217,1,,5993,,HAMPTON & N92,0,
43.0030153,4036,-87.9478557,0,,4036,,S27 & LINCOLN,0,
43.0066294,4038,-87.9478366,0,,4038,,LAYTON & BECHER,0,
43.0895079,5999,-88.0480517,0,,5999,,CAPITOL & MAYFAIR,0,
43.0893169,5998,-88.0511715,0,,5998,,CAPITOL & N110,0,
43.0677678,3796,-87.9401838,0,,3796,,CENTER & N22,0,
43.0605071,3730,-88.0317492,0,,3730,,NORTH & MENOMONEE,0,
43.0698885,4599,-87.9574825,0,,4599,,N35 & HADLEY,0,
43.0637181,1245,-87.9052538,0,,1245,,HOLTON & WRIGHT,0,
43.0357756,6537,-88.0160268,0,,6537,,GLENVIEW & BLUEMOUND,0,
43.1031989,371,-87.9305615,1,,371,,GREEN BAY & COURTLAND,0,
43.0591482,370,-87.9574409,0,,370,,N35 & GARFIELD,0,
43.1735493,7528,-88.0242893,1,,7528,,N91 & HEATHER,0,
43.111947,372,-87.9538412,0,,372,,VILLARD & N33,0,
43.1061225,4738,-88.0171548,0,,4738,,APPLETON & GRANTOSA,0,
43.1068696,6329,-88.0064289,0,,6329,,N76 & STARK,0,
43.0805871,1987,-87.9172653,0,,1987,,DR. MLK DRIVE & PORT WASHINGTON,0,
43.11223,5664,-87.942292,0,,5664,,VILLARD & W2400,0,
43.0678132,393,-87.9215335,1,,393,,N8 & CENTER,0,
43.0714569,392,-87.9214549,0,,392,,N8 & LOCUST,0,
43.1194071,6147,-88.0142916,0,,6147,,SILVER SPRING & FONDDULAC,0,
43.119447,6146,-88.0164221,0,,6146,,SILVER SPRING & W8400,0,
43.0640642,394,-87.9215412,0,,394,,N8 & WRIGHT,0,
43.1194685,6149,-88.0063432,1,,6149,,SILVER SPRING & N76,0,
43.1194477,6148,-88.0087604,0,,6148,,SILVER SPRING & N78,0,
43.010179,2309,-87.9606427,0,,2309,,BURNHAM & S37,0,
43.0451047,6783,-88.0305693,0,,6783,,WATERTOWN & N93,0,
43.0452916,6782,-88.0269264,1,,6782,,WATERTOWN & N92,0,
43.078929,4729,-87.9571841,0,,4729,,N35 & CONCORDIA,0,
43.0768496,4728,-87.9572237,0,,4728,,N35 & AUER,0,
43.0695675,4725,-87.9573323,0,,4725,,N35 & HADLEY,0,
43.0101054,2300,-87.9840457,0,,2300,,BURNHAM & S57,0,
43.0746485,4727,-87.9572224,0,,4727,,N35 & FOND DU LAC,0,
43.0717677,4726,-87.9572812,1,,4726,,N35 & LOCUST,0,
43.0100893,2304,-87.9734174,0,,2304,,BURNHAM & W4841,0,
43.0101348,2307,-87.9651246,0,,2307,,BURNHAM & S41,0,
43.0623178,4722,-87.9574211,0,,4722,,N35 & MEINECKE,0,
43.076289,5844,-88.0663557,0,,5844,,N124 & 3200,0,
43.0746315,5843,-88.0662217,0,,5843,,BURLEIGH & N124,0,
43.0747109,5840,-88.0611924,0,,5840,,BURLEIGH & N119,0,
43.0386095,4340,-87.9406571,0,,4340,,WISCONSIN & N22,0,
43.0743479,5849,-88.0626022,0,,5849,,BURLEIGH & N120,0,
43.0675245,3748,-87.9076584,0,,3748,,CENTER & RICHARDS,0,
43.0675573,3746,-87.9026927,0,,3746,,CENTER & PIERCE,0,
43.0675292,3747,-87.9050865,1,,3747,,CENTER & HOLTON,0,
43.0676891,3744,-87.8979377,0,,3744,,HUMBOLDT & CENTER,0,
43.0675438,3745,-87.9001775,0,,3745,,CENTER & BREMEN,0,
43.0707955,3742,-87.8979094,1,,3742,,HUMBOLDT & LOCUST,0,
43.0711032,3740,-87.8877047,0,,3740,,LOCUST & OAKLAND,0,
42.988291,245,-87.9584077,0,,245,,OKLAHOMA & S35,0,
42.9882217,244,-87.9682073,1,,244,,OKLAHOMA & S43,0,
42.9882448,247,-87.9386931,1,,247,,OKLAHOMA & S20,0,
42.9884023,246,-87.9485726,1,,246,,OKLAHOMA & S27,0,
42.9882124,241,-87.9979099,0,,241,,OKLAHOMA & S68,0,
42.9880999,240,-88.0079654,1,,240,,OKLAHOMA & S76,0,
42.9882682,243,-87.9781028,0,,243,,OKLAHOMA & S51,0,
42.994821,4628,-87.9585593,0,,4628,,S35 & FORESTHOME,0,
42.9921674,4629,-87.9582631,0,,4629,,S35 & DAKOTA,0,
42.9880577,249,-87.9290284,1,,249,,OKLAHOMA & S13,0,
42.988186,248,-87.9340828,0,,248,,OKLAHOMA & S16,0,
43.010451,2275,-87.9477357,1,,2275,,BURNHAM & LAYTON,0,
43.010521,2274,-87.9437717,0,,2274,,S24 & BURNHAM,0,
43.0104101,2277,-87.952583,0,,2277,,BURNHAM & S31,0,
43.0104358,2276,-87.9502035,0,,2276,,BURNHAM & S29,0,
43.0124391,2270,-87.9376034,0,,2270,,MITCHELL & MUSKEGO,0,
43.0125176,2273,-87.9434502,0,,2273,,MITCHELL & S24,0,
43.012466,2272,-87.9406462,0,,2272,,MITCHELL & S22,0,
43.0102896,2279,-87.960246,0,,2279,,BURNHAM & S37,0,
